Restaurant,Category,Item Name,Description,Price,Vegetarian,Spicy,Gluten-Free,Calories
Restaurant_98,Main Course,Tangy Salmon Smoothie,"A classic favorite, our tangy salmon smoothie is prepared with quality ingredients.",22.56,No,Yes,Yes,453
Restaurant_30,Desserts,Creamy Mushroom Salad,Enjoy the rich flavors of creamy mushroom salad with every bite.,6.42,Yes,Yes,No,864
Restaurant_17,Drinks,Sweet Chicken Wings,"A classic favorite, our sweet chicken wings is prepared with quality ingredients.",15.67,No,No,Yes,202
Restaurant_33,Drinks,Sweet Beef Cake,Savory and satisfying sweet beef cake with a touch of our special sauce.,5.0,Yes,Yes,Yes,726
Restaurant_39,Appetizers,Tangy Beef Pasta,Savory and satisfying tangy beef pasta with a touch of our special sauce.,19.37,Yes,No,No,603
Restaurant_39,Drinks,Crispy Mango Wings,A delicious crispy mango wings made fresh to order.,19.46,Yes,Yes,Yes,420
Restaurant_85,Appetizers,Creamy Salmon Pizza,Enjoy the rich flavors of creamy salmon pizza with every bite.,5.03,Yes,No,No,855
Restaurant_77,Drinks,Crispy Chicken Tacos,"A classic favorite, our crispy chicken tacos is prepared with quality ingredients.",22.09,No,Yes,Yes,420
Restaurant_81,Main Course,Roasted Beef Pasta,Tender roasted beef pasta cooked to perfection with a blend of spices.,20.49,No,Yes,Yes,211
Restaurant_22,Desserts,Crispy Tomato Burger,Savory and satisfying crispy tomato burger with a touch of our special sauce.,21.59,No,No,No,598
Restaurant_11,Appetizers,Roasted Tofu Wings,"A classic favorite, our roasted tofu wings is prepared with quality ingredients.",3.7,Yes,Yes,No,740
Restaurant_6,Main Course,Fresh Lettuce Smoothie,"A classic favorite, our fresh lettuce smoothie is prepared with quality ingredients.",7.9,No,No,Yes,631
Restaurant_45,Drinks,Grilled Tofu Burger,Tender grilled tofu burger cooked to perfection with a blend of spices.,11.9,No,No,No,713
Restaurant_5,Drinks,Sweet Tofu Soup,"A classic favorite, our sweet tofu soup is prepared with quality ingredients.",6.13,No,Yes,No,573
Restaurant_7,Main Course,Zesty Tofu Wings,Savory and satisfying zesty tofu wings with a touch of our special sauce.,19.89,Yes,Yes,No,712
Restaurant_17,Desserts,Fresh Tomato Burger,A delicious fresh tomato burger made fresh to order.,29.27,Yes,Yes,No,714
Restaurant_2,Drinks,Sweet Salmon Burger,Savory and satisfying sweet salmon burger with a touch of our special sauce.,28.57,Yes,No,No,671
Restaurant_91,Desserts,Roasted Tomato Smoothie,Tender roasted tomato smoothie cooked to perfection with a blend of spices.,15.33,Yes,No,Yes,763
Restaurant_66,Main Course,Sweet Mushroom Cake,"A classic favorite, our sweet mushroom cake is prepared with quality ingredients.",28.22,No,Yes,No,893
Restaurant_39,Drinks,Creamy Tomato Pasta,Savory and satisfying creamy tomato pasta with a touch of our special sauce.,12.32,No,No,No,343
Restaurant_90,Main Course,Roasted Salmon Cake,A delicious roasted salmon cake made fresh to order.,11.59,No,No,No,829
Restaurant_84,Main Course,Fresh Chicken Pizza,Enjoy the rich flavors of fresh chicken pizza with every bite.,29.06,No,Yes,No,252
Restaurant_68,Drinks,Spicy Pork Cake,Tender spicy pork cake cooked to perfection with a blend of spices.,5.02,No,No,No,815
Restaurant_11,Desserts,Zesty Cheese Sandwich,Savory and satisfying zesty cheese sandwich with a touch of our special sauce.,26.55,Yes,Yes,Yes,796
Restaurant_88,Desserts,Tangy Beef Cake,A delicious tangy beef cake made fresh to order.,23.53,Yes,No,Yes,860
Restaurant_39,Appetizers,Spicy Tofu Salad,"A classic favorite, our spicy tofu salad is prepared with quality ingredients.",12.68,No,Yes,Yes,693
Restaurant_53,Main Course,Creamy Pork Burger,Enjoy the rich flavors of creamy pork burger with every bite.,26.51,Yes,No,Yes,387
Restaurant_60,Desserts,Fresh Mushroom Salad,Savory and satisfying fresh mushroom salad with a touch of our special sauce.,27.33,Yes,Yes,No,503
Restaurant_76,Desserts,Roasted Mushroom Smoothie,"A classic favorite, our roasted mushroom smoothie is prepared with quality ingredients.",8.38,No,No,Yes,392
Restaurant_49,Desserts,Crispy Mushroom Salad,Savory and satisfying crispy mushroom salad with a touch of our special sauce.,10.41,Yes,No,No,385
Restaurant_78,Desserts,Tangy Salmon Wings,"A classic favorite, our tangy salmon wings is prepared with quality ingredients.",21.3,Yes,Yes,Yes,466
Restaurant_57,Appetizers,Grilled Pork Burger,"A classic favorite, our grilled pork burger is prepared with quality ingredients.",11.82,No,Yes,Yes,285
Restaurant_70,Desserts,Zesty Lettuce Soup,Tender zesty lettuce soup cooked to perfection with a blend of spices.,9.94,No,No,No,267
Restaurant_60,Appetizers,Creamy Salmon Cake,Enjoy the rich flavors of creamy salmon cake with every bite.,12.88,No,Yes,No,699
Restaurant_16,Drinks,Grilled Mushroom Wings,Savory and satisfying grilled mushroom wings with a touch of our special sauce.,25.21,No,Yes,Yes,632
Restaurant_4,Desserts,Tangy Beef Smoothie,"A classic favorite, our tangy beef smoothie is prepared with quality ingredients.",20.53,Yes,Yes,Yes,188
Restaurant_39,Drinks,Sweet Beef Tacos,Enjoy the rich flavors of sweet beef tacos with every bite.,6.66,No,No,No,751
Restaurant_96,Main Course,Roasted Beef Smoothie,Enjoy the rich flavors of roasted beef smoothie with every bite.,14.02,No,Yes,No,372
Restaurant_57,Drinks,Tangy Tofu Burger,"A classic favorite, our tangy tofu burger is prepared with quality ingredients.",17.7,No,Yes,No,432
Restaurant_25,Appetizers,Fresh Beef Tacos,Enjoy the rich flavors of fresh beef tacos with every bite.,29.22,Yes,No,Yes,278
Restaurant_73,Main Course,Sweet Lettuce Tacos,Enjoy the rich flavors of sweet lettuce tacos with every bite.,8.83,Yes,No,Yes,760
Restaurant_1,Desserts,Creamy Pork Pasta,"A classic favorite, our creamy pork pasta is prepared with quality ingredients.",24.56,Yes,Yes,Yes,165
Restaurant_46,Main Course,Grilled Chicken Pizza,"A classic favorite, our grilled chicken pizza is prepared with quality ingredients.",4.41,No,Yes,Yes,637
Restaurant_58,Desserts,Zesty Mango Burger,Savory and satisfying zesty mango burger with a touch of our special sauce.,16.6,Yes,No,No,808
Restaurant_4,Appetizers,Fresh Cheese Cake,A delicious fresh cheese cake made fresh to order.,16.24,No,Yes,Yes,479
Restaurant_78,Main Course,Sweet Pork Soup,Enjoy the rich flavors of sweet pork soup with every bite.,20.09,No,No,No,614
Restaurant_65,Drinks,Sweet Beef Pasta,Tender sweet beef pasta cooked to perfection with a blend of spices.,14.61,Yes,No,No,614
Restaurant_52,Drinks,Sweet Tofu Cake,"A classic favorite, our sweet tofu cake is prepared with quality ingredients.",20.96,No,Yes,No,218
Restaurant_12,Appetizers,Sweet Cheese Burger,"A classic favorite, our sweet cheese burger is prepared with quality ingredients.",24.92,Yes,No,Yes,570
Restaurant_46,Drinks,Spicy Mushroom Wings,"A classic favorite, our spicy mushroom wings is prepared with quality ingredients.",12.49,Yes,Yes,No,379
Restaurant_14,Desserts,Zesty Tofu Burger,"A classic favorite, our zesty tofu burger is prepared with quality ingredients.",18.5,No,Yes,No,179
Restaurant_24,Desserts,Crispy Tofu Sandwich,A delicious crispy tofu sandwich made fresh to order.,7.9,Yes,No,Yes,295
Restaurant_95,Appetizers,Sweet Lettuce Tacos,Savory and satisfying sweet lettuce tacos with a touch of our special sauce.,14.34,No,Yes,No,469
Restaurant_93,Desserts,Sweet Chicken Pizza,Tender sweet chicken pizza cooked to perfection with a blend of spices.,23.37,Yes,Yes,No,603
Restaurant_85,Drinks,Fresh Mango Smoothie,Savory and satisfying fresh mango smoothie with a touch of our special sauce.,10.38,Yes,No,No,263
Restaurant_37,Drinks,Zesty Mushroom Salad,Tender zesty mushroom salad cooked to perfection with a blend of spices.,13.67,Yes,Yes,Yes,458
Restaurant_28,Main Course,Crispy Mushroom Sandwich,A delicious crispy mushroom sandwich made fresh to order.,3.21,No,Yes,Yes,539
Restaurant_69,Main Course,Zesty Lettuce Sandwich,A delicious zesty lettuce sandwich made fresh to order.,13.72,Yes,No,Yes,620
Restaurant_10,Desserts,Roasted Mango Cake,Savory and satisfying roasted mango cake with a touch of our special sauce.,10.82,No,Yes,No,325
Restaurant_80,Drinks,Grilled Beef Cake,A delicious grilled beef cake made fresh to order.,9.57,No,Yes,No,467
Restaurant_96,Desserts,Tangy Tofu Pizza,A delicious tangy tofu pizza made fresh to order.,16.78,Yes,Yes,No,509
Restaurant_94,Main Course,Tangy Beef Pizza,"A classic favorite, our tangy beef pizza is prepared with quality ingredients.",8.33,Yes,Yes,Yes,793
Restaurant_64,Drinks,Fresh Mango Wings,"A classic favorite, our fresh mango wings is prepared with quality ingredients.",26.33,No,Yes,No,219
Restaurant_61,Drinks,Crispy Mushroom Wings,A delicious crispy mushroom wings made fresh to order.,12.5,Yes,No,No,612
Restaurant_5,Appetizers,Grilled Mushroom Burger,A delicious grilled mushroom burger made fresh to order.,19.61,No,No,Yes,610
Restaurant_74,Main Course,Grilled Mango Smoothie,Enjoy the rich flavors of grilled mango smoothie with every bite.,7.07,Yes,No,Yes,501
Restaurant_92,Appetizers,Zesty Pork Salad,Tender zesty pork salad cooked to perfection with a blend of spices.,22.11,No,Yes,No,531
Restaurant_37,Drinks,Roasted Tofu Wings,A delicious roasted tofu wings made fresh to order.,24.31,No,Yes,No,246
Restaurant_72,Drinks,Crispy Mushroom Wings,Tender crispy mushroom wings cooked to perfection with a blend of spices.,12.0,Yes,No,No,821
Restaurant_90,Drinks,Creamy Mango Burger,"A classic favorite, our creamy mango burger is prepared with quality ingredients.",18.09,No,Yes,Yes,811
Restaurant_86,Drinks,Zesty Tofu Salad,"A classic favorite, our zesty tofu salad is prepared with quality ingredients.",11.34,Yes,No,No,346
Restaurant_29,Main Course,Creamy Beef Soup,A delicious creamy beef soup made fresh to order.,16.71,Yes,No,Yes,761
Restaurant_49,Main Course,Creamy Pork Wings,Tender creamy pork wings cooked to perfection with a blend of spices.,22.47,Yes,No,No,842
Restaurant_93,Main Course,Fresh Mango Soup,Savory and satisfying fresh mango soup with a touch of our special sauce.,9.32,Yes,No,No,348
Restaurant_48,Drinks,Fresh Mushroom Cake,Enjoy the rich flavors of fresh mushroom cake with every bite.,17.24,Yes,Yes,Yes,406
Restaurant_7,Drinks,Grilled Lettuce Burger,Enjoy the rich flavors of grilled lettuce burger with every bite.,25.98,No,Yes,Yes,429
Restaurant_58,Main Course,Roasted Beef Tacos,Savory and satisfying roasted beef tacos with a touch of our special sauce.,26.89,Yes,No,Yes,555
Restaurant_65,Desserts,Tangy Cheese Burger,"A classic favorite, our tangy cheese burger is prepared with quality ingredients.",9.06,No,Yes,No,299
Restaurant_18,Appetizers,Crispy Tomato Pizza,Savory and satisfying crispy tomato pizza with a touch of our special sauce.,15.11,Yes,Yes,Yes,412
Restaurant_28,Main Course,Zesty Mango Pasta,Savory and satisfying zesty mango pasta with a touch of our special sauce.,6.0,No,Yes,No,274
Restaurant_7,Main Course,Roasted Mango Smoothie,A delicious roasted mango smoothie made fresh to order.,5.99,No,Yes,Yes,885
Restaurant_19,Desserts,Roasted Chicken Wings,"A classic favorite, our roasted chicken wings is prepared with quality ingredients.",9.5,No,Yes,Yes,686
Restaurant_47,Appetizers,Zesty Lettuce Pasta,Enjoy the rich flavors of zesty lettuce pasta with every bite.,17.96,No,No,Yes,800
Restaurant_50,Desserts,Crispy Chicken Sandwich,A delicious crispy chicken sandwich made fresh to order.,12.31,Yes,No,Yes,195
Restaurant_46,Desserts,Creamy Tomato Smoothie,Tender creamy tomato smoothie cooked to perfection with a blend of spices.,24.91,Yes,No,Yes,450
Restaurant_26,Appetizers,Tangy Chicken Sandwich,"A classic favorite, our tangy chicken sandwich is prepared with quality ingredients.",16.92,No,No,Yes,812
Restaurant_25,Desserts,Grilled Chicken Sandwich,"A classic favorite, our grilled chicken sandwich is prepared with quality ingredients.",6.36,No,No,No,600
Restaurant_50,Desserts,Creamy Tomato Smoothie,"A classic favorite, our creamy tomato smoothie is prepared with quality ingredients.",27.96,No,Yes,No,230
Restaurant_56,Main Course,Zesty Mushroom Sandwich,A delicious zesty mushroom sandwich made fresh to order.,5.16,No,No,No,767
Restaurant_92,Drinks,Creamy Tomato Sandwich,Savory and satisfying creamy tomato sandwich with a touch of our special sauce.,4.14,No,No,No,804
Restaurant_8,Appetizers,Roasted Tofu Pasta,Tender roasted tofu pasta cooked to perfection with a blend of spices.,28.73,Yes,No,Yes,279
Restaurant_9,Main Course,Grilled Tofu Cake,Enjoy the rich flavors of grilled tofu cake with every bite.,3.87,Yes,No,No,530
Restaurant_57,Appetizers,Creamy Lettuce Sandwich,Savory and satisfying creamy lettuce sandwich with a touch of our special sauce.,11.49,No,Yes,Yes,176
Restaurant_95,Main Course,Fresh Lettuce Cake,Enjoy the rich flavors of fresh lettuce cake with every bite.,6.18,No,No,Yes,776
Restaurant_37,Drinks,Tangy Beef Pizza,A delicious tangy beef pizza made fresh to order.,15.21,No,Yes,No,833
Restaurant_45,Appetizers,Zesty Lettuce Soup,"A classic favorite, our zesty lettuce soup is prepared with quality ingredients.",25.99,Yes,No,Yes,274
Restaurant_26,Main Course,Tangy Tomato Salad,"A classic favorite, our tangy tomato salad is prepared with quality ingredients.",17.96,No,No,Yes,776
Restaurant_12,Appetizers,Crispy Cheese Smoothie,Enjoy the rich flavors of crispy cheese smoothie with every bite.,14.09,No,Yes,Yes,474
Restaurant_83,Appetizers,Fresh Tomato Pasta,"A classic favorite, our fresh tomato pasta is prepared with quality ingredients.",6.47,Yes,Yes,No,664
Restaurant_8,Appetizers,Zesty Pork Soup,Tender zesty pork soup cooked to perfection with a blend of spices.,7.37,Yes,No,No,230
Restaurant_33,Main Course,Zesty Mushroom Pizza,"A classic favorite, our zesty mushroom pizza is prepared with quality ingredients.",19.59,Yes,Yes,Yes,325
Restaurant_85,Desserts,Spicy Chicken Burger,A delicious spicy chicken burger made fresh to order.,28.61,No,Yes,No,782
Restaurant_82,Appetizers,Fresh Lettuce Soup,"A classic favorite, our fresh lettuce soup is prepared with quality ingredients.",16.04,No,No,No,224
Restaurant_89,Appetizers,Creamy Tomato Cake,Savory and satisfying creamy tomato cake with a touch of our special sauce.,15.54,No,Yes,No,885
Restaurant_41,Desserts,Roasted Pork Sandwich,Enjoy the rich flavors of roasted pork sandwich with every bite.,18.16,No,Yes,No,275
Restaurant_35,Drinks,Tangy Pork Burger,A delicious tangy pork burger made fresh to order.,10.84,No,No,Yes,313
Restaurant_42,Desserts,Tangy Pork Smoothie,Enjoy the rich flavors of tangy pork smoothie with every bite.,15.6,No,No,Yes,242
Restaurant_51,Drinks,Tangy Salmon Wings,"A classic favorite, our tangy salmon wings is prepared with quality ingredients.",4.31,No,No,No,442
Restaurant_69,Appetizers,Sweet Cheese Pizza,"A classic favorite, our sweet cheese pizza is prepared with quality ingredients.",22.64,No,No,Yes,560
Restaurant_7,Main Course,Grilled Lettuce Soup,A delicious grilled lettuce soup made fresh to order.,13.43,No,No,Yes,281
Restaurant_13,Drinks,Grilled Tofu Pasta,"A classic favorite, our grilled tofu pasta is prepared with quality ingredients.",23.38,Yes,No,Yes,196
Restaurant_5,Main Course,Grilled Tomato Pasta,Savory and satisfying grilled tomato pasta with a touch of our special sauce.,7.02,Yes,No,No,316
Restaurant_51,Desserts,Grilled Lettuce Pasta,Enjoy the rich flavors of grilled lettuce pasta with every bite.,16.23,No,No,Yes,527
Restaurant_43,Appetizers,Roasted Mango Soup,A delicious roasted mango soup made fresh to order.,19.12,No,Yes,Yes,747
Restaurant_62,Main Course,Zesty Mango Cake,Tender zesty mango cake cooked to perfection with a blend of spices.,25.18,Yes,Yes,Yes,345
Restaurant_3,Drinks,Grilled Cheese Pizza,Savory and satisfying grilled cheese pizza with a touch of our special sauce.,21.64,No,No,Yes,872
Restaurant_18,Main Course,Zesty Tofu Smoothie,Enjoy the rich flavors of zesty tofu smoothie with every bite.,13.17,Yes,No,No,709
Restaurant_46,Desserts,Fresh Salmon Tacos,"A classic favorite, our fresh salmon tacos is prepared with quality ingredients.",18.07,Yes,No,No,871
Restaurant_27,Drinks,Grilled Tomato Sandwich,Enjoy the rich flavors of grilled tomato sandwich with every bite.,28.21,No,No,Yes,737
Restaurant_87,Drinks,Roasted Tofu Pizza,"A classic favorite, our roasted tofu pizza is prepared with quality ingredients.",4.14,Yes,No,No,821
Restaurant_33,Drinks,Tangy Salmon Pasta,"A classic favorite, our tangy salmon pasta is prepared with quality ingredients.",28.19,No,Yes,Yes,780
Restaurant_95,Main Course,Tangy Chicken Pasta,Tender tangy chicken pasta cooked to perfection with a blend of spices.,20.22,Yes,Yes,No,488
Restaurant_92,Drinks,Sweet Pork Salad,Enjoy the rich flavors of sweet pork salad with every bite.,29.4,Yes,No,No,638
Restaurant_84,Main Course,Crispy Tofu Soup,A delicious crispy tofu soup made fresh to order.,27.51,Yes,Yes,Yes,329
Restaurant_54,Main Course,Spicy Cheese Smoothie,Tender spicy cheese smoothie cooked to perfection with a blend of spices.,28.29,No,Yes,Yes,455
Restaurant_73,Appetizers,Grilled Mushroom Smoothie,Enjoy the rich flavors of grilled mushroom smoothie with every bite.,17.16,Yes,No,No,347
Restaurant_15,Desserts,Creamy Tomato Soup,Tender creamy tomato soup cooked to perfection with a blend of spices.,3.38,No,No,Yes,329
Restaurant_79,Drinks,Roasted Lettuce Sandwich,A delicious roasted lettuce sandwich made fresh to order.,13.82,Yes,Yes,Yes,638
Restaurant_42,Main Course,Spicy Mushroom Cake,Tender spicy mushroom cake cooked to perfection with a blend of spices.,15.06,No,No,No,746
Restaurant_93,Appetizers,Crispy Tofu Tacos,A delicious crispy tofu tacos made fresh to order.,21.03,No,No,Yes,565
Restaurant_88,Desserts,Sweet Mushroom Sandwich,Enjoy the rich flavors of sweet mushroom sandwich with every bite.,8.96,Yes,No,Yes,615
Restaurant_96,Desserts,Roasted Lettuce Smoothie,Enjoy the rich flavors of roasted lettuce smoothie with every bite.,24.65,Yes,Yes,Yes,688
Restaurant_58,Desserts,Sweet Mango Burger,A delicious sweet mango burger made fresh to order.,25.38,Yes,Yes,Yes,485
Restaurant_67,Drinks,Sweet Salmon Wings,Savory and satisfying sweet salmon wings with a touch of our special sauce.,5.46,No,Yes,No,285
Restaurant_66,Drinks,Fresh Mango Salad,Enjoy the rich flavors of fresh mango salad with every bite.,15.48,No,Yes,No,410
Restaurant_1,Main Course,Sweet Chicken Cake,"A classic favorite, our sweet chicken cake is prepared with quality ingredients.",21.91,Yes,Yes,No,182
Restaurant_37,Drinks,Creamy Pork Cake,"A classic favorite, our creamy pork cake is prepared with quality ingredients.",29.81,No,No,No,534
Restaurant_11,Main Course,Grilled Beef Pizza,Enjoy the rich flavors of grilled beef pizza with every bite.,13.61,Yes,Yes,Yes,173
Restaurant_39,Drinks,Zesty Cheese Pasta,Savory and satisfying zesty cheese pasta with a touch of our special sauce.,25.23,Yes,No,No,308
Restaurant_36,Main Course,Sweet Chicken Cake,Enjoy the rich flavors of sweet chicken cake with every bite.,23.68,Yes,Yes,Yes,218
Restaurant_13,Appetizers,Fresh Mango Salad,Tender fresh mango salad cooked to perfection with a blend of spices.,22.99,No,No,Yes,702
